Score,WOR
527.0,True
523.0,True
529.0,True
529.0,True
529.0,True
525.0,True
529.0,True
521.0,True
529.0,True
525.0,True
525.0,True
525.0,True
527.0,True
529.0,True
523.0,True
529.0,True
529.0,True
527.0,True
526.0,True
529.0,True
527.0,True
529.0,True
-488.0,False
529.0,True
529.0,True
527.0,True
527.0,True
523.0,True
-487.0,False
529.0,True
529.0,True
529.0,True
529.0,True
523.0,True
525.0,True
525.0,True
529.0,True
529.0,True
521.0,True
525.0,True
525.0,True
529.0,True
-482.0,False
529.0,True
525.0,True
527.0,True
527.0,True
521.0,True
529.0,True
525.0,True
527.0,True
527.0,True
529.0,True
523.0,True
529.0,True
527.0,True
529.0,True
-485.0,False
523.0,True
529.0,True
527.0,True
529.0,True
529.0,True
522.0,True
527.0,True
527.0,True
527.0,True
527.0,True
525.0,True
529.0,True
527.0,True
527.0,True
529.0,True
529.0,True
529.0,True
525.0,True
529.0,True
528.0,True
529.0,True
527.0,True
529.0,True
525.0,True
529.0,True
527.0,True
-481.0,False
529.0,True
529.0,True
527.0,True
529.0,True
525.0,True
525.0,True
529.0,True
523.0,True
525.0,True
523.0,True
527.0,True
525.0,True
527.0,True
526.0,True
529.0,True
529.0,True
527.0,True
527.0,True
529.0,True
527.0,True
527.0,True
527.0,True
527.0,True
525.0,True
-486.0,False
523.0,True
527.0,True
521.0,True
529.0,True
523.0,True
529.0,True
529.0,True
528.0,True
525.0,True
523.0,True
-487.0,False
527.0,True
529.0,True
529.0,True
527.0,True
527.0,True
-480.0,False
525.0,True
529.0,True
529.0,True
525.0,True
527.0,True
529.0,True
525.0,True
527.0,True
529.0,True
527.0,True
529.0,True
525.0,True
529.0,True
529.0,True
527.0,True
529.0,True
527.0,True
527.0,True
527.0,True
527.0,True
527.0,True
527.0,True
527.0,True
525.0,True
527.0,True
527.0,True
529.0,True
527.0,True
523.0,True
529.0,True
529.0,True
529.0,True
529.0,True
527.0,True
529.0,True
525.0,True
525.0,True
529.0,True
529.0,True
529.0,True
527.0,True
-485.0,False
527.0,True
529.0,True
529.0,True
529.0,True
527.0,True
529.0,True
527.0,True
525.0,True
527.0,True
527.0,True
525.0,True
527.0,True
527.0,True
525.0,True
527.0,True
527.0,True
527.0,True
529.0,True
529.0,True
527.0,True
527.0,True
527.0,True
529.0,True
-490.0,False
527.0,True
527.0,True
529.0,True
529.0,True
527.0,True
527.0,True
525.0,True
525.0,True
529.0,True
527.0,True
529.0,True
529.0,True
527.0,True
525.0,True
523.0,True
529.0,True
527.0,True
529.0,True
527.0,True
527.0,True
-481.0,False
527.0,True
525.0,True
523.0,True
527.0,True
525.0,True
529.0,True
529.0,True
527.0,True
529.0,True
527.0,True
529.0,True
523.0,True
521.0,True
523.0,True
525.0,True
529.0,True
521.0,True
527.0,True
527.0,True
525.0,True
523.0,True
529.0,True
527.0,True
-481.0,False
529.0,True
527.0,True
527.0,True
523.0,True
525.0,True
529.0,True
529.0,True
529.0,True
529.0,True
527.0,True
527.0,True
527.0,True
527.0,True
521.0,True
529.0,True
525.0,True
527.0,True
525.0,True
527.0,True
521.0,True
527.0,True
529.0,True
529.0,True
-489.0,False
529.0,True
527.0,True
527.0,True
528.0,True
527.0,True
529.0,True
525.0,True
527.0,True
527.0,True
529.0,True
525.0,True
527.0,True
527.0,True
522.0,True
523.0,True
529.0,True
529.0,True
527.0,True
525.0,True
529.0,True
525.0,True
529.0,True
527.0,True
529.0,True
525.0,True
529.0,True
527.0,True
525.0,True
527.0,True
529.0,True
527.0,True
527.0,True
525.0,True
527.0,True
527.0,True
529.0,True
525.0,True
523.0,True
527.0,True
529.0,True
529.0,True
529.0,True
529.0,True
527.0,True
529.0,True
524.0,True
527.0,True
525.0,True
525.0,True
523.0,True
527.0,True
525.0,True
525.0,True
529.0,True
527.0,True
527.0,True
527.0,True
528.0,True
529.0,True
527.0,True
529.0,True
527.0,True
-488.0,False
529.0,True
526.0,True
529.0,True
527.0,True
527.0,True
529.0,True
529.0,True
527.0,True
529.0,True
527.0,True
529.0,True
525.0,True
529.0,True
527.0,True
527.0,True
527.0,True
529.0,True
527.0,True
527.0,True
529.0,True
527.0,True
527.0,True
529.0,True
527.0,True
529.0,True
529.0,True
529.0,True
527.0,True
523.0,True
527.0,True
527.0,True
525.0,True
524.0,True
529.0,True
529.0,True
529.0,True
527.0,True
527.0,True
529.0,True
525.0,True
521.0,True
527.0,True
527.0,True
523.0,True
529.0,True
525.0,True
529.0,True
529.0,True
-489.0,False
529.0,True
529.0,True
527.0,True
529.0,True
527.0,True
527.0,True
525.0,True
-487.0,False
527.0,True
-486.0,False
525.0,True
521.0,True
527.0,True
529.0,True
527.0,True
529.0,True
527.0,True
527.0,True
527.0,True
529.0,True
527.0,True
527.0,True
527.0,True
-485.0,False
529.0,True
529.0,True
529.0,True
527.0,True
529.0,True
527.0,True
527.0,True
529.0,True
525.0,True
527.0,True
528.0,True
522.0,True
525.0,True
527.0,True
529.0,True
527.0,True
529.0,True
527.0,True
529.0,True
529.0,True
527.0,True
-488.0,False
527.0,True
-491.0,False
525.0,True
525.0,True
527.0,True
527.0,True
527.0,True
525.0,True
527.0,True
529.0,True
525.0,True
527.0,True
529.0,True
525.0,True
525.0,True
521.0,True
527.0,True
529.0,True
527.0,True
529.0,True
529.0,True
527.0,True
521.0,True
529.0,True
527.0,True
529.0,True
527.0,True
529.0,True
529.0,True
529.0,True
529.0,True
525.0,True
525.0,True
523.0,True
527.0,True
523.0,True
529.0,True
529.0,True
525.0,True
527.0,True
527.0,True
526.0,True
527.0,True
529.0,True
529.0,True
529.0,True
527.0,True
529.0,True
527.0,True
529.0,True
523.0,True
527.0,True
527.0,True
523.0,True
529.0,True
529.0,True
523.0,True
529.0,True
527.0,True
-490.0,False
527.0,True
529.0,True
527.0,True
529.0,True
525.0,True
521.0,True
529.0,True
525.0,True
529.0,True
527.0,True
525.0,True
-485.0,False
523.0,True
525.0,True
525.0,True
527.0,True
529.0,True
527.0,True
529.0,True
529.0,True
527.0,True
529.0,True
525.0,True
529.0,True
527.0,True
529.0,True
527.0,True
523.0,True
529.0,True
524.0,True
527.0,True
525.0,True
529.0,True
529.0,True
529.0,True
521.0,True
525.0,True
523.0,True
527.0,True
527.0,True
529.0,True
529.0,True
525.0,True
524.0,True
521.0,True
523.0,True
521.0,True
527.0,True
529.0,True
525.0,True
529.0,True
521.0,True
527.0,True
529.0,True
527.0,True
529.0,True
523.0,True
525.0,True
525.0,True
525.0,True
529.0,True
527.0,True
527.0,True
527.0,True
526.0,True
527.0,True
527.0,True
527.0,True
529.0,True
527.0,True
524.0,True
527.0,True
529.0,True
529.0,True
529.0,True
529.0,True
523.0,True
529.0,True
521.0,True
529.0,True
525.0,True
526.0,True
527.0,True
529.0,True
527.0,True
525.0,True
529.0,True
523.0,True
529.0,True
527.0,True
529.0,True
529.0,True
527.0,True
529.0,True
527.0,True
525.0,True
525.0,True
529.0,True
523.0,True
529.0,True
523.0,True
527.0,True
527.0,True
527.0,True
527.0,True
525.0,True
527.0,True
526.0,True
-488.0,False
529.0,True
527.0,True
527.0,True
527.0,True
529.0,True
525.0,True
526.0,True
521.0,True
-480.0,False
527.0,True
529.0,True
525.0,True
527.0,True
527.0,True
-490.0,False
529.0,True
529.0,True
529.0,True
523.0,True
529.0,True
527.0,True
529.0,True
527.0,True
525.0,True
523.0,True
529.0,True
529.0,True
529.0,True
527.0,True
527.0,True
529.0,True
523.0,True
527.0,True
529.0,True
529.0,True
527.0,True
523.0,True
526.0,True
527.0,True
527.0,True
529.0,True
525.0,True
527.0,True
529.0,True
529.0,True
529.0,True
527.0,True
528.0,True
525.0,True
527.0,True
529.0,True
525.0,True
527.0,True
529.0,True
529.0,True
529.0,True
527.0,True
525.0,True
527.0,True
525.0,True
529.0,True
529.0,True
525.0,True
527.0,True
529.0,True
523.0,True
525.0,True
527.0,True
527.0,True
529.0,True
527.0,True
529.0,True
-483.0,False
525.0,True
525.0,True
529.0,True
529.0,True
527.0,True
524.0,True
525.0,True
526.0,True
527.0,True
523.0,True
527.0,True
529.0,True
523.0,True
527.0,True
527.0,True
527.0,True
519.0,True
527.0,True
527.0,True
529.0,True
519.0,True
529.0,True
527.0,True
527.0,True
527.0,True
527.0,True
529.0,True
529.0,True
525.0,True
527.0,True
523.0,True
529.0,True
527.0,True
527.0,True
525.0,True
529.0,True
527.0,True
529.0,True
525.0,True
527.0,True
527.0,True
525.0,True
527.0,True
527.0,True
529.0,True
529.0,True
525.0,True
525.0,True
527.0,True
529.0,True
527.0,True
529.0,True
529.0,True
529.0,True
529.0,True
529.0,True
529.0,True
527.0,True
529.0,True
529.0,True
527.0,True
529.0,True
527.0,True
527.0,True
527.0,True
527.0,True
529.0,True
529.0,True
527.0,True
529.0,True
525.0,True
529.0,True
527.0,True
527.0,True
529.0,True
529.0,True
525.0,True
529.0,True
525.0,True
529.0,True
529.0,True
529.0,True
529.0,True
529.0,True
527.0,True
525.0,True
529.0,True
525.0,True
529.0,True
529.0,True
529.0,True
523.0,True
529.0,True
529.0,True
529.0,True
527.0,True
529.0,True
527.0,True
529.0,True
523.0,True
525.0,True
527.0,True
529.0,True
527.0,True
525.0,True
529.0,True
529.0,True
529.0,True
525.0,True
529.0,True
527.0,True
529.0,True
529.0,True
525.0,True
527.0,True
529.0,True
529.0,True
529.0,True
523.0,True
525.0,True
525.0,True
527.0,True
525.0,True
527.0,True
525.0,True
529.0,True
523.0,True
529.0,True
529.0,True
527.0,True
527.0,True
527.0,True
529.0,True
529.0,True
525.0,True
529.0,True
527.0,True
525.0,True
529.0,True
527.0,True
525.0,True
527.0,True
529.0,True
529.0,True
527.0,True
529.0,True
529.0,True
527.0,True
527.0,True
527.0,True
525.0,True
529.0,True
529.0,True
527.0,True
529.0,True
525.0,True
523.0,True
525.0,True
527.0,True
527.0,True
529.0,True
529.0,True
529.0,True
529.0,True
529.0,True
527.0,True
529.0,True
529.0,True
529.0,True
525.0,True
527.0,True
525.0,True
527.0,True
529.0,True
529.0,True
523.0,True
529.0,True
527.0,True
529.0,True
525.0,True
527.0,True
529.0,True
529.0,True
529.0,True
527.0,True
527.0,True
529.0,True
529.0,True
527.0,True
525.0,True
527.0,True
527.0,True
529.0,True
527.0,True
529.0,True
527.0,True
529.0,True
529.0,True
527.0,True
527.0,True
529.0,True
529.0,True
529.0,True
527.0,True
525.0,True
527.0,True
529.0,True
529.0,True
529.0,True
529.0,True
525.0,True
529.0,True
525.0,True
527.0,True
529.0,True
527.0,True
529.0,True
527.0,True
527.0,True
527.0,True
527.0,True
523.0,True
527.0,True
527.0,True
529.0,True
529.0,True
527.0,True
527.0,True
527.0,True
529.0,True
529.0,True
527.0,True
529.0,True
529.0,True
525.0,True
527.0,True
525.0,True
527.0,True
529.0,True
529.0,True
529.0,True
529.0,True
529.0,True
525.0,True
529.0,True
527.0,True
525.0,True
529.0,True
529.0,True
529.0,True
529.0,True
527.0,True
529.0,True
527.0,True
529.0,True
529.0,True
527.0,True
529.0,True
527.0,True
527.0,True
529.0,True
527.0,True
527.0,True
529.0,True
525.0,True
523.0,True
527.0,True
527.0,True
523.0,True
529.0,True
529.0,True
527.0,True
525.0,True
529.0,True
529.0,True
529.0,True
529.0,True
523.0,True
527.0,True
527.0,True
529.0,True
525.0,True
527.0,True
529.0,True
529.0,True
529.0,True
529.0,True
523.0,True
529.0,True
527.0,True
529.0,True
527.0,True
529.0,True
529.0,True
527.0,True
529.0,True
529.0,True
529.0,True
527.0,True
525.0,True
527.0,True
529.0,True
523.0,True
527.0,True
527.0,True
527.0,True
525.0,True
527.0,True
529.0,True
527.0,True
527.0,True
527.0,True
525.0,True
525.0,True
527.0,True
529.0,True
529.0,True
527.0,True
525.0,True
527.0,True
527.0,True
529.0,True
527.0,True
527.0,True
527.0,True
527.0,True
529.0,True
529.0,True
525.0,True
527.0,True
527.0,True
527.0,True
529.0,True
525.0,True
529.0,True
529.0,True
529.0,True
529.0,True
529.0,True
529.0,True
529.0,True
525.0,True
529.0,True
527.0,True
525.0,True
523.0,True
529.0,True
525.0,True
527.0,True
529.0,True
529.0,True
527.0,True
527.0,True
529.0,True
525.0,True
527.0,True
527.0,True
527.0,True
529.0,True
529.0,True
529.0,True
529.0,True
525.0,True
529.0,True
527.0,True
529.0,True
527.0,True
529.0,True
529.0,True
527.0,True
529.0,True
527.0,True
527.0,True
529.0,True
527.0,True
529.0,True
529.0,True
529.0,True
529.0,True
529.0,True
527.0,True
527.0,True
527.0,True
527.0,True
525.0,True
527.0,True
529.0,True
529.0,True
525.0,True
527.0,True
529.0,True
527.0,True
527.0,True
529.0,True
527.0,True
527.0,True
529.0,True
527.0,True
527.0,True
527.0,True
529.0,True
529.0,True
525.0,True
527.0,True
525.0,True
527.0,True
527.0,True
529.0,True
525.0,True
527.0,True
529.0,True
529.0,True
529.0,True
527.0,True
523.0,True
529.0,True
529.0,True
525.0,True
523.0,True
529.0,True
529.0,True
525.0,True
529.0,True
529.0,True
529.0,True
529.0,True
523.0,True
529.0,True
527.0,True
529.0,True
527.0,True
529.0,True
525.0,True
529.0,True
527.0,True
527.0,True
527.0,True
529.0,True
527.0,True
529.0,True
527.0,True
529.0,True
529.0,True
529.0,True
529.0,True
529.0,True
529.0,True
529.0,True
529.0,True
529.0,True
529.0,True
529.0,True
529.0,True
529.0,True
523.0,True
529.0,True
527.0,True
529.0,True
527.0,True
529.0,True
529.0,True
529.0,True
525.0,True
527.0,True
527.0,True
529.0,True
525.0,True
529.0,True
527.0,True
529.0,True
527.0,True
527.0,True
529.0,True
529.0,True
529.0,True
527.0,True
529.0,True
529.0,True
529.0,True
527.0,True
529.0,True
527.0,True
529.0,True
527.0,True
527.0,True
527.0,True
529.0,True
529.0,True
527.0,True
529.0,True
527.0,True
527.0,True
527.0,True
525.0,True
527.0,True
529.0,True
529.0,True
523.0,True
529.0,True
529.0,True
527.0,True
525.0,True
527.0,True
529.0,True
527.0,True
523.0,True
529.0,True
529.0,True
529.0,True
529.0,True
525.0,True
529.0,True
527.0,True
527.0,True
527.0,True
529.0,True
523.0,True
525.0,True
529.0,True
529.0,True
529.0,True
529.0,True
525.0,True
529.0,True
529.0,True
529.0,True
529.0,True
527.0,True
529.0,True
527.0,True
529.0,True
527.0,True
527.0,True
527.0,True
527.0,True
525.0,True
527.0,True
529.0,True
527.0,True
527.0,True
529.0,True
529.0,True
529.0,True
525.0,True
529.0,True
529.0,True
527.0,True
529.0,True
527.0,True
529.0,True
529.0,True
529.0,True
527.0,True
527.0,True
529.0,True
527.0,True
527.0,True
525.0,True
527.0,True
527.0,True
527.0,True
525.0,True
529.0,True
529.0,True
529.0,True
527.0,True
527.0,True
529.0,True
529.0,True
529.0,True
529.0,True
529.0,True
529.0,True
529.0,True
529.0,True
529.0,True
527.0,True
529.0,True
525.0,True
527.0,True
523.0,True
529.0,True
529.0,True
529.0,True
527.0,True
529.0,True
527.0,True
525.0,True
529.0,True
525.0,True
529.0,True
527.0,True
527.0,True
527.0,True
529.0,True
529.0,True
529.0,True
527.0,True
527.0,True
529.0,True
529.0,True
527.0,True
529.0,True
529.0,True
527.0,True
525.0,True
521.0,True
529.0,True
523.0,True
525.0,True
527.0,True
527.0,True
527.0,True
529.0,True
523.0,True
527.0,True
527.0,True
527.0,True
527.0,True
529.0,True
529.0,True
529.0,True
527.0,True
527.0,True
527.0,True
527.0,True
527.0,True
529.0,True
529.0,True
529.0,True
525.0,True
527.0,True
525.0,True
529.0,True
529.0,True
529.0,True
529.0,True
529.0,True
529.0,True
527.0,True
527.0,True
529.0,True
529.0,True
525.0,True
527.0,True
527.0,True
527.0,True
529.0,True
527.0,True
527.0,True
529.0,True
529.0,True
523.0,True
527.0,True
529.0,True
525.0,True
527.0,True
525.0,True
527.0,True
529.0,True
529.0,True
529.0,True
525.0,True
523.0,True
527.0,True
529.0,True
529.0,True
529.0,True
529.0,True
527.0,True
529.0,True
529.0,True
527.0,True
529.0,True
525.0,True
525.0,True
527.0,True
529.0,True
527.0,True
529.0,True
529.0,True
527.0,True
527.0,True
525.0,True
525.0,True
529.0,True
529.0,True
529.0,True
529.0,True
527.0,True
527.0,True
525.0,True
527.0,True
523.0,True
527.0,True
529.0,True
529.0,True
527.0,True
529.0,True
527.0,True
527.0,True
525.0,True
527.0,True
527.0,True
527.0,True
527.0,True
527.0,True
529.0,True
527.0,True
527.0,True
529.0,True
529.0,True
529.0,True
527.0,True
525.0,True
527.0,True
529.0,True
527.0,True
529.0,True
527.0,True
529.0,True
525.0,True
529.0,True
529.0,True
527.0,True
527.0,True
527.0,True
527.0,True
529.0,True
529.0,True
527.0,True
529.0,True
527.0,True
529.0,True
527.0,True
527.0,True
527.0,True
529.0,True
529.0,True
527.0,True
529.0,True
525.0,True
529.0,True
529.0,True
527.0,True
527.0,True
527.0,True
527.0,True
527.0,True
525.0,True
529.0,True
527.0,True
529.0,True
525.0,True
527.0,True
529.0,True
527.0,True
529.0,True
523.0,True
529.0,True
527.0,True
527.0,True
527.0,True
527.0,True
527.0,True
529.0,True
527.0,True
527.0,True
529.0,True
529.0,True
529.0,True
529.0,True
527.0,True
527.0,True
529.0,True
529.0,True
529.0,True
527.0,True
529.0,True
527.0,True
527.0,True
529.0,True
527.0,True
529.0,True
529.0,True
529.0,True
529.0,True
527.0,True
523.0,True
529.0,True
525.0,True
529.0,True
525.0,True
525.0,True
529.0,True
527.0,True
527.0,True
525.0,True
529.0,True
525.0,True
529.0,True
525.0,True
523.0,True
529.0,True
527.0,True
525.0,True
527.0,True
529.0,True
527.0,True
525.0,True
525.0,True
529.0,True
527.0,True
525.0,True
529.0,True
523.0,True
529.0,True
527.0,True
527.0,True
525.0,True
529.0,True
529.0,True
529.0,True
525.0,True
527.0,True
529.0,True
527.0,True
527.0,True
529.0,True
527.0,True
527.0,True
529.0,True
527.0,True
529.0,True
529.0,True
525.0,True
525.0,True
529.0,True
527.0,True
527.0,True
527.0,True
529.0,True
529.0,True
529.0,True
525.0,True
525.0,True
527.0,True
529.0,True
527.0,True
529.0,True
529.0,True
529.0,True
523.0,True
527.0,True
529.0,True
529.0,True
527.0,True
529.0,True
529.0,True
529.0,True
527.0,True
527.0,True
529.0,True
525.0,True
529.0,True
527.0,True
527.0,True
529.0,True
527.0,True
527.0,True
529.0,True
529.0,True
527.0,True
527.0,True
527.0,True
529.0,True
525.0,True
523.0,True
529.0,True
527.0,True
527.0,True
529.0,True
529.0,True
525.0,True
527.0,True
521.0,True
525.0,True
527.0,True
529.0,True
529.0,True
529.0,True
527.0,True
527.0,True
529.0,True
527.0,True
525.0,True
529.0,True
529.0,True
529.0,True
527.0,True
527.0,True
529.0,True
527.0,True
529.0,True
527.0,True
529.0,True
529.0,True
523.0,True
529.0,True
527.0,True
527.0,True
527.0,True
529.0,True
527.0,True
525.0,True
529.0,True
527.0,True
527.0,True
529.0,True
525.0,True
529.0,True
529.0,True
529.0,True
527.0,True
527.0,True
527.0,True
527.0,True
527.0,True
529.0,True
527.0,True
525.0,True
527.0,True
529.0,True
525.0,True
529.0,True
527.0,True
527.0,True
529.0,True
527.0,True
529.0,True
529.0,True
529.0,True
529.0,True
527.0,True
527.0,True
529.0,True
523.0,True
525.0,True
529.0,True
529.0,True
529.0,True
529.0,True
529.0,True
529.0,True
529.0,True
529.0,True
525.0,True
529.0,True
523.0,True
525.0,True
527.0,True
529.0,True
527.0,True
529.0,True
527.0,True
527.0,True
529.0,True
529.0,True
525.0,True
527.0,True
529.0,True
525.0,True
529.0,True
527.0,True
525.0,True
527.0,True
527.0,True
529.0,True
527.0,True
529.0,True
527.0,True
529.0,True
527.0,True
529.0,True
527.0,True
527.0,True
527.0,True
529.0,True
527.0,True
529.0,True
525.0,True
529.0,True
529.0,True
525.0,True
527.0,True
529.0,True
529.0,True
529.0,True
527.0,True
527.0,True
529.0,True
527.0,True
529.0,True
527.0,True
529.0,True
529.0,True
527.0,True
527.0,True
529.0,True
529.0,True
527.0,True
527.0,True
525.0,True
529.0,True
529.0,True
527.0,True
525.0,True
529.0,True
529.0,True
523.0,True
529.0,True
529.0,True
529.0,True
527.0,True
